year,month,trad,rapide,café
2015,4,88.8,94.2,87.4
2015,3,86.8,92.9,85.8
2015,2,88.6,96.1,87.8
2015,1,88.6,94.7,85.8
2014,12,88.9,94.2,91.1
2014,11,89.3,94.7,86.1
2014,10,90.3,96.1,87.4
2014,9,89.5,94.5,88
2014,8,90.7,96.7,88.2
2014,7,89.1,96.5,86.6
2014,6,88.1,97.3,90.8
2014,5,90.3,97.1,88
2014,4,89,97.5,87.9
2014,3,90.8,100.7,89.1
2014,2,90.7,96.9,89
2014,1,91.6,99.2,90.6
2013,12,91.6,98.1,90.9
2013,11,92.4,98.7,95.8
2013,10,92.5,97.5,91.1
2013,9,91.9,99.2,92.9
2013,8,92.5,98.8,93.9
2013,7,92.6,95.2,89.9
2013,6,94.7,98,91.8
2013,5,93.8,98.2,95.8
2013,4,90.7,98.3,91.5
2013,3,97.4,99,96.6
2013,2,92.7,98,93.7
2013,1,92.7,97.1,95.6
2012,12,94,98.8,96.9
2012,11,97.5,99.7,97
2012,10,93.7,97.9,98.2
2012,9,96.5,99.6,96.7
2012,8,95.2,100,91.5
2012,7,97.4,100.1,97.7
2012,6,97,100.7,97.3
2012,5,95.8,100.5,96.1
2012,4,95,100.6,99.7
2012,3,102.5,104.3,99.5
2012,2,95.6,100.4,98.4
2012,1,99.6,102.7,99.6
2011,12,100.3,104.1,97.5
2011,11,99.6,100.8,95.9
2011,10,100.9,101.8,97.6
2011,9,101.1,102.2,96.9
2011,8,101.7,101.2,95.4
2011,7,101,101.1,99.1
2011,6,102.6,102.6,102.4
2011,5,100.7,101.9,98.5
2011,4,102.7,101,99.1
2011,3,103.1,101.5,99
2011,2,102.2,101.7,98.4
2011,1,102.9,101.4,100
2010,12,97.4,99.7,97.4
2010,11,99.4,101,100.5
2010,10,99.9,101.8,98.6
2010,9,101.5,101.5,99.7
2010,8,100.1,101.2,100
2010,7,101.9,101.7,99.3
2010,6,98.4,98.7,100.3
2010,5,102.6,100.4,102.8
2010,4,101.5,100.7,105.9
2010,3,99.8,98.2,99.2
2010,2,99.4,98.2,99.8
2010,1,98.1,96.9,96.5
2009,12,98.9,98.7,99.2
2009,11,99.5,98,98.8
2009,10,99.9,98.4,98.7
2009,9,98.6,97.7,97.6
2009,8,98.7,99.2,98.1
2009,7,99.6,99.1,97.7
2009,6,97.2,95.4,97.3
2009,5,98,96.7,100.1
2009,4,98,96.9,104.9
2009,3,98.4,96.5,99.3
2009,2,97.9,95.3,105.8
2009,1,98.2,97.4,106.2
2008,12,99.5,92.8,105.8
2008,11,100.7,99,106
2008,10,100.9,96.5,106.3
2008,9,99.3,93.5,105.9
2008,8,95.3,93.6,105.1
2008,7,102.7,96.7,111.8
2008,6,102.9,96,107.1
2008,5,104.1,97.3,110.9
2008,4,103.7,96.4,108.5
2008,3,106.1,97.9,109.7
2008,2,108.5,98.1,111.8
2008,1,107.3,96.9,111.7
2007,12,108,95.6,112.9
2007,11,107.6,95.9,114
2007,10,108.1,96,114
2007,9,108.2,95.2,114.6
2007,8,100.2,93.4,109.6
2007,7,107.3,94.9,114.1
2007,6,107.6,97,114.9
2007,5,104.1,95.1,110.1
2007,4,108,94.2,113
2007,3,110.8,95.1,116.3
2007,2,107.5,92.9,112.6
2007,1,108.1,94.3,113.5
2006,12,108.6,92,114.7
2006,11,107.7,94.1,112.8
2006,10,109.3,91.5,115.4
2006,9,109.2,93.1,117.1
2006,8,105.9,91.5,113.6
2006,7,105.8,90.8,112.3
2006,6,103.4,89,110.2
2006,5,105.7,90.8,112.1
2006,4,105.5,91,111.6
2006,3,105,89.5,110.7
2006,2,105.4,89.9,111.6
2006,1,107,86.2,112.9
2005,12,106.5,92.4,113
2005,11,106.9,88,112.2
2005,10,103.5,88.8,110.1
2005,9,105.4,90.1,112.2
2005,8,106,89.3,112.2
2005,7,107.4,91.8,115.3
2005,6,105.7,89.6,111.8
2005,5,105.1,87.2,111.7
2005,4,103.9,88.4,111.2
2005,3,104.5,85.9,110.4
2005,2,103.8,86.2,110.9
2005,1,105.1,86.3,111
2004,12,107.9,91.3,113.6
2004,11,108.5,90.4,115
2004,10,105.6,88,113.1
2004,9,106.8,87,113.1
2004,8,109,88.6,114.8
2004,7,106.9,85.7,114.4
2004,6,107.6,87.7,114.5
2004,5,107.5,86.4,112.8
2004,4,107.5,85.4,114.2
2004,3,105.4,84,112.1
2004,2,106.5,85.4,112.9
2004,1,104.9,84.3,113.1
2003,12,106.1,85.1,112.7
2003,11,106.7,85,112.8
2003,10,107.8,86.5,114.9
2003,9,113.8,86.2,121
2003,8,110.5,85.7,116.5
2003,7,109.4,87,115.4
2003,6,108.6,85.5,114.9
2003,5,108.7,87,116.9
2003,4,108.4,85,114.6
2003,3,109,85.2,115.8
2003,2,108,84.9,115.3
2003,1,108.7,83,116.3
2002,12,108.8,89.6,115.9
2002,11,109.8,83.7,117.3
2002,10,112.8,84.4,119.3
2002,9,111.8,82.1,118.2
2002,8,115.1,84.2,122.8
2002,7,114.8,83.8,121.1
2002,6,111.5,83.7,118.9
2002,5,111.9,83.1,119.2
2002,4,108.8,83.5,114.8
2002,3,113.1,82.6,120.2
2002,2,113.3,82.6,120.4
2002,1,112.1,84.1,118.7
2001,12,112.5,81.2,120.4
2001,11,112.2,80.6,120.3
2001,10,110.7,80,118
2001,9,110.8,82.5,117.6
2001,8,113.8,81.4,120.4
2001,7,114.1,80.8,119.3
2001,6,114.8,80.4,122.6
2001,5,112.5,80.5,119.1
2001,4,111,84.8,116.8
2001,3,113.5,81.8,120.5
2001,2,112.7,80.8,119.4
2001,1,112.5,82.4,118.8
2000,12,107.9,74.9,116.4
2000,11,109.2,75.7,114.7
2000,10,109.3,79.2,116.4
2000,9,111.2,82.2,118.4
2000,8,111.3,78.7,117.1
2000,7,109.2,77.9,114.5
2000,6,110.1,78.6,116.4
2000,5,107.8,79,114.4
2000,4,106.1,79.7,112.3
2000,3,108.8,80.2,115.2
2000,2,107.9,79.2,113.8
2000,1,108.1,78,113.9
1999,12,106.5,74.2,113
1999,11,109.1,76.4,115.3
1999,10,103.9,73.7,111.7
1999,9,109.4,78.7,115.2
1999,8,107.6,73.3,113.6
1999,7,106.7,73.6,113.8
1999,6,107.8,74.5,114.1
1999,5,108.9,73.8,113.3
1999,4,107.3,72.8,113.5
1999,3,106.2,73.2,112.1
1999,2,106.7,70,113.1
1999,1,106.1,72.9,112.1
1998,12,107.1,73.9,112.6
1998,11,107.2,72.5,113
1998,10,105.8,73.6,113.3
1998,9,104,73.3,110
1998,8,105,73.9,110.9
1998,7,106.8,73.4,113
1998,6,103.4,72.8,109.6
1998,5,109.7,71.6,114.5
1998,4,111.7,71.6,117
1998,3,103.9,71.3,109
1998,2,102.9,71.2,108.7
1998,1,102.9,70.9,109.3
1997,12,104.2,69.1,110.1
1997,11,102.3,70.1,108.1
1997,10,103.1,71.1,109.7
1997,9,102.6,70.1,109
1997,8,92.7,70.5,98.7
1997,7,102.3,70,108.4
1997,6,102.1,71.7,108
1997,5,104,71.3,110.4
1997,4,107.1,70.8,111.8
1997,3,108.5,71.3,113.7
1997,2,102.8,71.3,108.5
1997,1,102.6,65.1,108.2
1996,12,100.1,72.4,105.8
1996,11,100.6,70.9,108.1
1996,10,100.9,70.9,107.1
1996,9,101.9,70.6,108.2
1996,8,94.2,70.8,101.9
1996,7,100.5,72.4,107.5
1996,6,104.4,69.7,110.4
1996,5,102.7,71.7,108.3
1996,4,105.5,70.6,109.8
1996,3,106,74.7,111.5
1996,2,106.7,69.3,111.7
1996,1,105.6,73.1,110.9
1995,12,104,76.6,111.8
1995,11,102.8,75.6,109.1
1995,10,104.5,73.6,111.3
1995,9,104,74.3,112
1995,8,103.6,74.3,111
1995,7,104.9,73.1,112.1
1995,6,109.2,84.7,114.8
1995,5,109.2,79.9,114.7
1995,4,111,78.5,116
1995,3,110.1,76.2,115
1995,2,115.5,75.8,121.9
1995,1,110.3,75.3,116
